Zeit,Geschwindigkeit,Fahrtrichtung,Lenkwinkel,Abstand_Hindernis
10.12.2021,###,###,###,###
13:24:42.887,0,0,90,0
13:24:42.994,50,1,90,0
13:24:42.994,50,1,90,0
13:24:43.055,50,1,90,-2
13:24:43.101,50,1,90,-4
13:24:43.163,50,1,90,-2
13:24:43.224,50,1,90,-2
13:24:43.285,50,1,90,-2
13:24:43.346,50,1,90,-2
13:24:43.407,50,1,90,-2
13:24:43.441,50,1,90,-4
13:24:43.465,50,1,90,212
13:24:43.527,50,1,90,-2
13:24:43.588,50,1,90,-2
13:24:43.649,50,1,90,-2
13:24:43.712,50,1,90,-2
13:24:43.774,50,1,90,-2
13:24:43.835,50,1,90,-2
13:24:43.876,50,1,90,-4
13:24:43.937,50,1,90,-2
13:24:43.998,50,1,90,-2
13:24:44.059,50,1,90,-2
13:24:44.120,50,1,90,-2
13:24:44.182,50,1,90,-2
13:24:44.243,50,1,90,-2
13:24:44.286,50,1,90,-4
13:24:44.349,50,1,90,-2
13:24:44.411,50,1,90,-2
13:24:44.472,50,1,90,-2
13:24:44.533,50,1,90,-2
13:24:44.593,50,1,90,-2
13:24:44.655,50,1,90,-2
13:24:44.697,50,1,90,-4
13:24:44.737,50,1,90,482
13:24:44.776,50,1,90,478
13:24:44.816,50,1,90,478
13:24:44.856,50,1,90,476
13:24:44.895,50,1,90,481
13:24:44.934,50,1,90,474
13:24:44.973,50,1,90,472
13:24:44.990,50,1,90,16
13:24:45.002,50,1,90,14
13:24:45.014,50,1,90,15
13:24:45.027,50,1,90,13
13:24:45.039,50,1,90,13
13:24:45.051,50,1,90,12
13:24:45.063,50,1,90,12
13:24:45.074,50,1,90,12
13:24:45.087,50,1,90,12
13:24:45.203,0,0,90,10
10.12.2021,###,###,###,###
13:25:21.256,0,0,90,0
13:25:21.362,50,1,90,0
13:25:21.363,50,1,90,0
13:25:21.390,50,1,90,271
13:25:21.417,50,1,90,282
13:25:21.444,50,1,90,271
13:25:21.472,50,1,90,283
13:25:21.499,50,1,90,274
13:25:21.559,50,1,90,-2
13:25:21.620,50,1,90,-2
13:25:21.682,50,1,90,-2
13:25:21.743,50,1,90,-2
13:25:21.804,50,1,90,-2
13:25:21.871,50,1,90,-2
13:25:21.909,50,1,90,-4
13:25:21.935,50,1,90,257
13:25:21.961,50,1,90,258
13:25:21.988,50,1,90,259
13:25:22.014,50,1,90,257
13:25:22.041,50,1,90,259
13:25:22.071,50,1,90,222
13:25:22.098,50,1,90,256
13:25:22.124,50,1,90,251
13:25:22.150,50,1,90,251
13:25:22.176,50,1,90,-4
13:25:22.203,50,1,90,249
13:25:22.264,50,1,90,-2
13:25:22.325,50,1,90,-2
13:25:22.386,50,1,90,-2
13:25:22.447,50,1,90,-2
13:25:22.508,50,1,90,-2
13:25:22.570,50,1,90,-2
13:25:22.613,50,1,90,-4
13:25:22.639,50,1,90,237
13:25:22.664,50,1,90,241
13:25:22.690,50,1,90,239
13:25:22.715,50,1,90,240
13:25:22.741,50,1,90,235
13:25:22.767,50,1,90,234
13:25:22.791,50,1,90,232
13:25:22.817,50,1,90,237
13:25:22.842,50,1,90,234
13:25:22.870,50,1,90,231
13:25:22.893,50,1,90,205
13:25:22.918,50,1,90,230
13:25:22.942,50,1,90,230
13:25:22.967,50,1,90,227
13:25:22.992,50,1,90,227
13:25:23.016,50,1,90,234
13:25:23.040,50,1,90,227
13:25:23.064,50,1,90,224
13:25:23.089,50,1,90,225
13:25:23.113,50,1,90,230
13:25:23.137,50,1,90,224
13:25:23.161,50,1,90,221
13:25:23.185,50,1,90,221
13:25:23.209,50,1,90,225
13:25:23.232,50,1,90,219
13:25:23.256,50,1,90,220
13:25:23.280,50,1,90,219
13:25:23.303,50,1,90,218
13:25:23.327,50,1,90,220
13:25:23.351,50,1,90,218
13:25:23.374,50,1,90,217
13:25:23.398,50,1,90,215
13:25:23.421,50,1,90,219
13:25:23.445,50,1,90,214
13:25:23.468,50,1,90,214
13:25:23.492,50,1,90,213
13:25:23.515,50,1,90,213
13:25:23.538,50,1,90,213
13:25:23.562,50,1,90,213
13:25:23.586,50,1,90,222
13:25:23.609,50,1,90,210
13:25:23.632,50,1,90,208
13:25:23.655,50,1,90,212
13:25:23.678,50,1,90,207
13:25:23.701,50,1,90,206
13:25:23.724,50,1,90,206
13:25:23.747,50,1,90,205
13:25:23.770,50,1,90,205
13:25:23.793,50,1,90,206
13:25:23.815,50,1,90,203
13:25:23.838,50,1,90,204
13:25:23.861,50,1,90,203
13:25:23.884,50,1,90,205
13:25:23.907,50,1,90,201
13:25:23.930,50,1,90,203
13:25:23.952,50,1,90,199
13:25:23.975,50,1,90,200
13:25:23.998,50,1,90,199
13:25:24.020,50,1,90,198
13:25:24.043,50,1,90,198
13:25:24.066,50,1,90,197
13:25:24.088,50,1,90,198
13:25:24.111,50,1,90,198
13:25:24.134,50,1,90,198
13:25:24.156,50,1,90,195
13:25:24.178,50,1,90,195
13:25:24.201,50,1,90,195
13:25:24.223,50,1,90,194
13:25:24.246,50,1,90,192
13:25:24.268,50,1,90,189
13:25:24.290,50,1,90,190
13:25:24.312,50,1,90,192
13:25:24.334,50,1,90,189
13:25:24.356,50,1,90,190
13:25:24.379,50,1,90,190
13:25:24.401,50,1,90,188
13:25:24.423,50,1,90,186
13:25:24.445,50,1,90,187
13:25:24.466,50,1,90,185
13:25:24.488,50,1,90,185
13:25:24.510,50,1,90,183
13:25:24.532,50,1,90,184
13:25:24.554,50,1,90,182
13:25:24.575,50,1,90,184
13:25:24.597,50,1,90,184
13:25:24.619,50,1,90,182
13:25:24.641,50,1,90,182
13:25:24.663,50,1,90,181
13:25:24.684,50,1,90,179
13:25:24.706,50,1,90,179
13:25:24.727,50,1,90,177
13:25:24.749,50,1,90,177
13:25:24.770,50,1,90,178
13:25:24.792,50,1,90,178
13:25:24.813,50,1,90,179
13:25:24.834,50,1,90,177
13:25:24.856,50,1,90,177
13:25:24.877,50,1,90,175
13:25:24.898,50,1,90,174
13:25:24.919,50,1,90,171
13:25:24.941,50,1,90,174
13:25:24.962,50,1,90,174
13:25:24.983,50,1,90,173
13:25:25.004,50,1,90,172
13:25:25.025,50,1,90,170
13:25:25.046,50,1,90,171
13:25:25.067,50,1,90,168
13:25:25.088,50,1,90,170
13:25:25.109,50,1,90,166
13:25:25.130,50,1,90,166
13:25:25.151,50,1,90,169
13:25:25.171,50,1,90,168
13:25:25.192,50,1,90,166
13:25:25.213,50,1,90,165
13:25:25.234,50,1,90,164
13:25:25.254,50,1,90,164
13:25:25.275,50,1,90,163
13:25:25.295,50,1,90,162
13:25:25.316,50,1,90,164
13:25:25.336,50,1,90,162
13:25:25.357,50,1,90,160
13:25:25.377,50,1,90,159
13:25:25.398,50,1,90,160
13:25:25.418,50,1,90,158
13:25:25.438,50,1,90,159
13:25:25.459,50,1,90,159
13:25:25.479,50,1,90,158
13:25:25.499,50,1,90,156
13:25:25.519,50,1,90,158
13:25:25.540,50,1,90,156
13:25:25.560,50,1,90,155
13:25:25.580,50,1,90,154
13:25:25.600,50,1,90,155
13:25:25.620,50,1,90,155
13:25:25.640,50,1,90,154
13:25:25.660,50,1,90,154
13:25:25.680,50,1,90,151
13:25:25.700,50,1,90,151
13:25:25.720,50,1,90,152
13:25:25.740,50,1,90,151
13:25:25.760,50,1,90,150
13:25:25.780,50,1,90,151
13:25:25.799,50,1,90,150
13:25:25.819,50,1,90,149
13:25:25.839,50,1,90,148
13:25:25.859,50,1,90,148
13:25:25.878,50,1,90,148
13:25:25.898,50,1,90,147
13:25:25.918,50,1,90,147
13:25:25.937,50,1,90,145
13:25:25.957,50,1,90,145
13:25:25.976,50,1,90,143
13:25:25.995,50,1,90,142
13:25:26.015,50,1,90,143
13:25:26.034,50,1,90,143
13:25:26.054,50,1,90,141
13:25:26.073,50,1,90,142
13:25:26.092,50,1,90,140
13:25:26.111,50,1,90,141
13:25:26.131,50,1,90,139
13:25:26.150,50,1,90,140
13:25:26.169,50,1,90,138
13:25:26.188,50,1,90,139
13:25:26.207,50,1,90,138
13:25:26.226,50,1,90,137
13:25:26.246,50,1,90,138
13:25:26.265,50,1,90,135
13:25:26.284,50,1,90,135
13:25:26.303,50,1,90,136
13:25:26.322,50,1,90,135
13:25:26.340,50,1,90,135
13:25:26.359,50,1,90,133
13:25:26.378,50,1,90,133
13:25:26.397,50,1,90,133
13:25:26.416,50,1,90,132
13:25:26.435,50,1,90,131
13:25:26.454,50,1,90,130
13:25:26.473,50,1,90,131
13:25:26.492,50,1,90,130
13:25:26.511,50,1,90,130
13:25:26.530,50,1,90,128
13:25:26.548,50,1,90,127
13:25:26.567,50,1,90,128
13:25:26.585,50,1,90,126
13:25:26.604,50,1,90,127
13:25:26.622,50,1,90,127
13:25:26.640,50,1,90,125
13:25:26.659,50,1,90,126
13:25:26.677,50,1,90,124
13:25:26.695,50,1,90,125
13:25:26.713,50,1,90,124
13:25:26.732,50,1,90,124
13:25:26.750,50,1,90,122
13:25:26.768,50,1,90,122
13:25:26.786,50,1,90,122
13:25:26.804,50,1,90,121
13:25:26.823,50,1,90,122
13:25:26.841,50,1,90,121
13:25:26.859,50,1,90,121
13:25:26.877,50,1,90,118
13:25:26.895,50,1,90,120
13:25:26.913,50,1,90,119
13:25:26.931,50,1,90,116
13:25:26.948,50,1,90,116
13:25:26.966,50,1,90,117
13:25:26.984,50,1,90,117
13:25:27.002,50,1,90,115
13:25:27.020,50,1,90,116
13:25:27.037,50,1,90,116
13:25:27.055,50,1,90,115
13:25:27.073,50,1,90,114
13:25:27.091,50,1,90,113
13:25:27.108,50,1,90,113
13:25:27.126,50,1,90,112
13:25:27.143,50,1,90,113
13:25:27.161,50,1,90,111
13:25:27.178,50,1,90,112
13:25:27.196,50,1,90,111
13:25:27.213,50,1,90,111
13:25:27.231,50,1,90,109
13:25:27.248,50,1,90,109
13:25:27.266,50,1,90,109
13:25:27.284,50,1,90,107
13:25:27.301,50,1,90,108
13:25:27.318,50,1,90,108
13:25:27.336,50,1,90,107
13:25:27.353,50,1,90,107
13:25:27.370,50,1,90,107
13:25:27.387,50,1,90,105
13:25:27.404,50,1,90,105
